Id_estacio;Nom_Est;Longitud_geo;Latitud_geo;alt_est;ET_mmy;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;vereda;SUBREGION;depto_region;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
27020040;ANGOSTURA [27020040];-75,33247188;6,883055998;1686;1138;6;(6-6);14;Antioquia;Angostura;MagdalenaCauca;AltoNechi;LOS PINOS;Norte;Antioquia - Norte;0;0;0;0;0;0;0;0;0;1375;1718;1957;1376;817;1335;1626;884;1445;1513;1700;1548;1209;1050;1251;1796;1283;1240;940;1189;1488;1107;1108;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
27020210;ANGOSTURA [27020210];-75,33247188;6,883055998;1686;1138;98;(6-6);14;Antioquia;Angostura;MagdalenaCauca;AltoNechi;LOS PINOS;Norte;Antioquia - Norte;0;0;0;0;0;0;0;0;1512;1753;1098;1722;1231;1463;1196;1560;1340;1352;1249;1459;1706;1161;1101;1406;1564;1131;1727;1017;1538;630;1161;755;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92
27020160;TENCHE LA RISARALD [27020160];-75,03333042;7,349996849;531;1434;20;(7-7);8;Antioquia;Anori;MagdalenaCauca;AltoNechi;PROVIDENCIA;Nordeste;Antioquia - Nordeste;0;0;0;0;0;0;0;0;1512;1753;1098;1722;1231;1463;1196;1560;1340;1352;1249;1459;1706;1161;1101;1406;1564;1131;1727;1017;1538;630;1161;755;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
27020170;CARMEN EL HACIENDA [27020170];-75,07977636;7,147196396;876;1338;92;(6-7);10;Antioquia;Anori;MagdalenaCauca;AltoNechi;EL CARMEN;Nordeste;Antioquia - Nordeste;0;0;0;0;0;1453;0;856;1575;1261;1138;2034;1234;1470;1094;1257;1108;1267;1884;1759;1926;1703;1258;1580;2194;1486;1756;1294;1439;1684;1304;1218;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58
27020180;ANORI [27020180];-75,15052916;7,0719206;1576;1163;34;(6-7);10;Antioquia;Anori;MagdalenaCauca;AltoNechi;;Nordeste;Antioquia - Nordeste;0;0;0;0;0;0;0;0;0;1375;1718;1957;1376;817;1335;1626;884;1445;1513;1700;1548;1209;1050;1251;1796;1283;1240;940;1189;1488;1107;1108;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79
27025010;MONTEFRIO [27025010];-75,1999987;6,949996954;1803;1112;4;(6-7);10;Antioquia;Anori;MagdalenaCauca;AltoNechi;MEDIAS FALDAS;Nordeste;Antioquia - Nordeste;0;0;0;0;0;1453;0;856;1575;1261;1138;2034;1234;1470;1094;1257;1108;1267;1884;1759;1926;1703;1258;1580;2194;1486;1756;1294;1439;1684;1304;1218;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
27025020;CHARCON LIBERIA [27025020];-74,99999835;7,383329463;97;1564;16;(7-7);8;Antioquia;Anori;MagdalenaCauca;AltoNechi;LEVERIA;Nordeste;Antioquia - Nordeste;0;0;0;0;0;0;0;0;1512;1753;1098;1722;1231;1463;1196;1560;1340;1352;1249;1459;1706;1161;1101;1406;1564;1131;1727;1017;1538;630;1161;755;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68
27025030;ANORI [27025030];-75,15052916;7,0719206;1576;1163;85;(6-7);10;Antioquia;Anori;MagdalenaCauca;AltoNechi;;Nordeste;Antioquia - Nordeste;0;0;0;0;0;1453;0;856;1575;1261;1138;2034;1234;1470;1094;1257;1108;1267;1884;1759;1926;1703;1258;1580;2194;1486;1756;1294;1439;1684;1304;1218;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
26145020;BELLAVISTA [26145020];-75,80013735;5,275947527;1990;1071;78;(2-5);17;Caldas;Anserma;MagdalenaCauca;RioRisaralda;BELLAVISTA;;Caldas - ;0;0;0;0;0;0;0;0;0;584;131;1401;988;1227;875;1230;1262;1309;1167;904;508;1283;932;1470;1428;874;1185;1119;1421;86;1507;1299;1119;1513;1206;1171;1187;1452;1273;779;1222;748;0;564;0;0;0;0;0;0;0;94
26110150;INMACULADA LA [26110150];-75,99000344;4,790000872;943;1320;91;(1-5);14;ValledelCauca;Ansermanuevo;MagdalenaCauca;RiosPescadorRUTChancoCatarinayCañaveral;;;ValledelCauca - ;322;165;266;987;1183;1204;0;0;735;660;1755;1839;241;1167;1641;1372;1075;1392;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
