Municipio;Zona_Hidrografica;Subcuenca;Sistema;Area_Ha;Porcentaje
RIONEGRO;C Rio Negro;Qda. El Molino;Río Negro;16.280.174.435.428.600;8.311.884.084.225.710
RIONEGRO;C Rio Negro;Qda. Marinilla;Río Negro;1.349.195.033.330.040;0.6888349242528962
RIONEGRO;C Rio Negro;Qda. Cimarrona;Río Negro;37.754.384.484.716.000;19.275.596.140.133.600
RIONEGRO;C Rio Negro;Qda. Yarumal;Río Negro;37.067.994.992.526.000;18.925.158.255.186.900
RIONEGRO;C Rio Negro;Qda. San Antonio - Emb. Abreo Mal Paso;Río Negro;36.177.872.425.660.600;18.470.703.935.555.200
RIONEGRO;C Rio Negro;Qda. San Antonio - Emb. Abreo Mal Paso;Río Negro;31.238.723.386.323.000;1.594.900.894.681.180
RIONEGRO;C Rio Negro;Qda. Cimarrona;Río Negro;8.480.462.385.036.980;4.329.721.441.538.590
RIONEGRO;C Rio Negro;Qda. Yarumal;Río Negro;3.422.979.657.109.180;17.476.108.898.832.600
RIONEGRO;Embalse La Fe;Represa La Fé;Río Negro;107.565.957.058.457;0.5491807044358349
SABANETA;Valle de Aburra;Q. La Miel;Rio Aburra;34.254.078.635.639.000;0.21636801109384118
SABANETA;Valle de Aburra;Q. La Ayurá;Rio Aburra;3.263.203.290.021.680;0.20612225865630782
SABANETA;Valle de Aburra;Q. La Doctora;Rio Aburra;11.115.418.540.486.000;7.021.123.024.976.970
SABANETA;Valle de Aburra;Directos R. Aburra ZU Medellín (INTERCUENCA 5);Rio Aburra;2.037.279.420.670.750;1.286.860.175.051.730
SABANETA;Valle de Aburra;Directos R. Aburra ZU Medellín;Rio Aburra;44.453.643.219.656.300;28.079.419.305.428.400
SAN JOSÉ DE LA MONTAÑA;Embalse Riogrande II;Q. Quebradona;R. Grande - Chico;9.564.921.588.843.160;0.7588343465101616
ENTRERRÍOS;Embalse Riogrande II;R. Chico;R. Grande - Chico;29.801.253.939.186.000;13.917.012.300.692.600
ENTRERRÍOS;Embalse Riogrande II;R. Chico;R. Grande - Chico;30.024.626.959.618.000;0.14021326202360676
DONMATÍAS;Embalse Riogrande II;R. Chico;R. Grande - Chico;30.093.865.996.498.800;15.210.622.005.907.800
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;35.508.742.770.839.500;11.992.643.351.537.500
ENTRERRÍOS;Embalse Riogrande II;R. Chico;R. Grande - Chico;36.866.228.916.022.700;172.163.145.333.224
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;46.200.628.448.110.400;15.603.696.902.783.500
SAN PEDRO DE LOS MILAGROS;Valle de Aburra;Q. El Molinal;Rio Aburra;3.388.463.369.711.850;0.14974368206902292
SAN VICENTE FERRER;Valle de Aburra;Q. Ovejas;Rio Aburra;704.692.056.142.853;30.586.720.857.499.600
SAN VICENTE FERRER;C Rio Negro;Qda. La Mosca;Río Negro;1.042.819.981.062.520;4.526.295.335.294.160
SAN VICENTE FERRER;C Rio Negro;Qda La Paja;Río Negro;12.712.547.884.489.700;5.517.802.423.639.940
SAN VICENTE FERRER;C Rio Negro;Qda. El Molino;Río Negro;996.577.495.949.609;4.325.582.701.800.380
SAN VICENTE FERRER;C Rio Negro;Qda. El Molino;Río Negro;4.799.552.189.376.200;2.083.215.807.213.410
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 5;R. Grande - Chico;2.281.619.779.857.900;26.393.402.778.095.500
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 4;R. Grande - Chico;1.608.841.129.064.690;0.18610809872982
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 4;R. Grande - Chico;10.122.467.083.766.000;11.709.503.625.818.400
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande Tramo 3;R. Grande - Chico;3.903.674.378.188.760;4.515.706.389.277.720
SANTA ROSA DE OSOS;Parte baja Riogrande;Q. Las Animas;R. Grande - Chico;10.046.424.720.793.400;11.621.539.069.591.600
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 6;R. Grande - Chico;15.470.743.086.137.900;0.17896301441351667
SANTA ROSA DE OSOS;Embalse Riogrande II;Q. Orobajo;R. Grande - Chico;2.732.110.922.975.720;316.046.103.128.644
SANTA ROSA DE OSOS;Parte baja Riogrande;Q. La Chorrera;R. Grande - Chico;3.595.833.660.156.610;41.596.013.040.112.000
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 6;R. Grande - Chico;1.526.007.641.733.510;17.652.605.699.812.300
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande Tramo 3;R. Grande - Chico;10.424.563.554.828.000;12.058.963.860.559.100
SANTA ROSA DE OSOS;Embalse Riogrande II;Q. Quebradona;R. Grande - Chico;44.436.150.902.269.200;0.5140300934561791
SANTA ROSA DE OSOS;Embalse Riogrande II;Q. Bramadora;R. Grande - Chico;529.617.465.847.118;6.126.527.836.854.470
SANTA ROSA DE OSOS;Embalse Riogrande II;Q. Quebradona;R. Grande - Chico;13.279.669.503.296.200;1.536.170.351.671.460
SANTA ROSA DE OSOS;Embalse Riogrande II;Q. La Gurreña;R. Grande - Chico;3.960.148.528.647.080;4.581.034.758.743.820
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande Tramo 2;R. Grande - Chico;2.167.368.957.367.870;25.071.768.033.196.900
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande tramo 1;R. Grande - Chico;62.738.037.579.051;0.7257433118125889
SANTA ROSA DE OSOS;Embalse Riogrande II;Q. Las Trampas;R. Grande - Chico;3.862.227.837.276.940;4.467.761.711.654.320
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande tramo 1;R. Grande - Chico;8.822.971.427.426.220;10.206.268.399.294.400
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande Tramo 3;R. Grande - Chico;437.096.974.540.978;0.5056265993129437
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 6;R. Grande - Chico;346.193.859.001.081;0.4004713686558148
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 6;R. Grande - Chico;23.627.504.319.695.900;0.27331908833195856
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande tramo 1;R. Grande - Chico;35.071.748.808.665.700;40.570.422.846.568.800
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande tramo 1;R. Grande - Chico;16.862.614.306.325.800;19.506.395.202.545.500
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande Tramo 2;R. Grande - Chico;18.472.687.071.035.700;0.21368900925724327
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande Tramo 2;R. Grande - Chico;24.666.376.271.383.800;0.28533658839828113
SANTA ROSA DE OSOS;Embalse Riogrande II;R. Grande Tramo 2;R. Grande - Chico;16.489.295.980.780.600;0.1907454669660515
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 4;R. Grande - Chico;6.262.536.956.020.700;0.7244399866802375
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 6;R. Grande - Chico;5.816.926.483.985.580;0.6728924993451976
SANTA ROSA DE OSOS;Parte baja Riogrande;R. Grande Tramo 6;R. Grande - Chico;45.813.904.135.524.000;0.5299677165146458
SANTO DOMINGO;Valle de Aburra;Q. Piedra Gorda;Rio Aburra;13.502.318.892.200.200;5.079.813.681.799.400
SANTO DOMINGO;Valle de Aburra;Q.Agua Fria;Rio Aburra;32.807.166.729.146.800;12.342.642.455.886.800
SANTO DOMINGO;Valle de Aburra;Directos R. Aburra  a salida;Rio Aburra;17.091.440.062.676.800;64.301.052.112.014.300
EL SANTUARIO;C Rio Negro;Qda. Marinilla;Río Negro;5.156.337.178.170.810;61.818.453.547.164.000
YARUMAL;Embalse Riogrande II;Q. Las Trampas;R. Grande - Chico;12.841.384.159.551.000;17.400.350.667.563.300
